title,url,published_date
"Bhanu Vaddiparthi, Chief Marketing Officer, Practically at 16th World Education Summit, Hyderabad",https://www.youtube.com/watch?v=-ztfcofeGxY,2020-02-27
"Akash Singh, Manager, Globus Infocom Limited at 16th World Education Summit, Hyderabad",https://www.youtube.com/watch?v=CpDAgU-oTcA,2020-02-27
"Kunwar Shekhar Vijendra, Chancellor, Shobhit University at 16th World Education Summit, Hyderabad",https://www.youtube.com/watch?v=t5Pkqwq4EJE,2020-02-27
Panel Discussion: Degree or Skill: What is More Important? at 16th World Education Summit,https://www.youtube.com/watch?v=jwaw4SZrbjI,2020-02-27
"Suraj Sapra, Chief Strategy Officer, NoPaperForms at 16th World Education Summit, Hyderabad",https://www.youtube.com/watch?v=euyQlGCfahg,2020-02-27
"Dr A Ankhena, Faculty, MNR Dental College, Sangareddy at 16th World Education Summit, Hyderabad",https://www.youtube.com/watch?v=tKXZKXY6Kk0,2020-02-26
"Award Ceremony day1 at 16th World Education Summit, Hyderabad",https://www.youtube.com/watch?v=9EE1vV3KLfQ,2020-02-26
"15th WES 2019, Award Ceremony of Teachers Glory Awards (TGA) - Higher Education & School Education",https://www.youtube.com/watch?v=q8ZgIHAvHPw,2019-12-02
"15th WES 2019, Mumbai-PD: Joint Decision Making with Powerful School-Parent",https://www.youtube.com/watch?v=MXKuS08GJa4,2019-11-30
"15th WES 2019, Mumbai-PD: Happy Students: Preparing them for Smooth Life after School",https://www.youtube.com/watch?v=rJHdtc64P7w,2019-11-30
"15th WES 2019, Mumbai- PD: Role of Preschools in Building a Strong Foundation for Life",https://www.youtube.com/watch?v=dKybvAF6InE,2019-11-30
"15th WES 2019, Mumbai:- Shuchi Sharma, Secretary, Higher & Technical Education, Govt of Rajasthan",https://www.youtube.com/watch?v=ljHtNrVSv1g,2019-11-30
"Day2 in School Hall:- Vibha Mahajan, Vice President- India, Matific at 15th WES 2019, Mumbai",https://www.youtube.com/watch?v=wxe-44T05To,2019-11-30
"15th WES 2019, Mumbai-PD: School’s Infrastructure: A Key element of students learning experience",https://www.youtube.com/watch?v=pxDBZ18xfP4,2019-11-30
"15th WES 2019, Mumbai- Day2-in School hall Presentation Kartik Narayan , CEO & Founder LIT SKILLS",https://www.youtube.com/watch?v=1b8xkAkr9H4,2019-11-30
"15th WES 2019, Mumbai- Jawahar Surisetti, Advisory to Government, Smart City Expert",https://www.youtube.com/watch?v=O-L6MFen2SI,2019-11-30
"15th WES 2019, Mumbai- Dr M S Shyamasundar, Advisor, NAAC",https://www.youtube.com/watch?v=gMv6xdPOIS8,2019-11-30
"World Education Summit: Shuchi Sharma, IAS, Secretary, HTE, Rajasthan: Joy of Giving",https://www.youtube.com/watch?v=Q47fLzCr880,2019-11-29
